GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeProjectListItem,26,0,0,0,2,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeQueryService,372,0,23,0,84,0,28,0,15,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeDetailView,57,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeSearchResult,21,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,Kunde,129,0,0,0,37,0,37,0,37,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,KundeHistory,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,KundeContactEntry,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,KundeCommandService,214,0,22,0,52,0,17,0,6,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,KundeContact,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,KundeHistoryEntry,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.command,KundeHasProjectsException,12,0,0,0,4,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponse,0,15,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponseWrapper,0,15,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendRequest,0,6,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController,568,481,50,40,105,95,46,20,10,9
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.query,HistoryTypeView,9,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusQueryService,22,0,0,0,11,0,3,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.query,TagQueryService,26,0,0,0,12,0,3,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.query,HistoryTypeQueryService,14,0,0,0,7,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusView,18,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.query,TagView,12,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff,HomeController,7,0,0,0,3,0,3,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff,PowerstaffApplication,8,0,0,0,3,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectQueryService,372,0,18,0,75,0,19,0,10,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectPositionQueryService,71,0,10,0,19,0,9,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectPositionView,42,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectSearchResult,24,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectDetailView,66,0,0,0,1,0,1,0,1,0
